Location,Burrito,Number of Burritos,Date,Neighborhood,Address,JSON,lon,lat,Coverage,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa2,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Place,By
Los palmitos,California,1,2017-04-23,Clairemont,5145 Clairemont Mesa Blvd,"[{""place_id"":""46144747"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""3269844757"",""boundingbox"":[""32.8340615"",""32.8341615"",""-117.17974"",""-117.17964""],""lat"":""32.8341115"",""lon"":""-117.17969"",""display_name"":""Los Palmitos Taco Shop, 5145, Clairemont Mesa Boulevard, Clairemont, San Diego, San Diego County, California, 92117, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.541,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""Los Palmitos Taco Shop"",""house_number"":""5145"",""road"":""Clairemont Mesa Boulevard"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92117"",""country"":""United States of America"",""country_code"":""us""}}]",-117.17969,32.8341115,POINT(-13044383.4221 3873305.68329),<a href='https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego'>https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego</a>,4,4.1,x,7.1,4,,,22.5,23,0.95,4.5,5,3.8,3.8,4,4,3.9,4.3,5,4.3,,Scott,red-orange salsa has a slight fruity flavor that's really good,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Panchos Taco Shop,California,3,2016-11-23,Hillcrest,409 Washington St,"[{""place_id"":""21998857"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""2131738441"",""boundingbox"":[""32.749634"",""32.749734"",""-117.161327"",""-117.161227""],""lat"":""32.749684"",""lon"":""-117.161277"",""display_name"":""Los Panchos Taco Shop, 409, Washington Street, Uptown, San Diego, San Diego County, California, 92103, United States of America"",""class"":""amenity"",""type"":""fast_food"",""importance"":0.421,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_fastfood.p.20.png"",""address"":{""fast_food"":""Los Panchos Taco Shop"",""house_number"":""409"",""road"":""Washington Street"",""suburb"":""Uptown"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92103"",""country"":""United States of America"",""country_code"":""us""}}]",-117.161277,32.749684,POINT(-13042333.6963 3862125.63939),<a href='https://www.yelp.com/biz/los-panchos-san-diego-2'>https://www.yelp.com/biz/los-panchos-san-diego-2</a>,3,3.4,x,6.25,3,,,18,21.5,0.66,3.5,5,4,3,4,3,3.5,3.5,3,3.7,Yes,Scott,,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Monster California,9,2016-02-01,UTC,7770 Regents Rd,[],,,,<a href='http://www.primosmex.com/'>http://www.primosmex.com/</a>,3,3.7,x,9.25,3.5,,,,,,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,,Scott,this tasted really bad leftover. not included in rating,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los tacos ,Local,3,2016-06-05,Oceanside,2183 Vista Way,"[{""place_id"":""55774057"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""4470601977"",""boundingbox"":[""33.182423"",""33.182523"",""-117.3409453"",""-117.3408453""],""lat"":""33.182473"",""lon"":""-117.3408953"",""display_name"":""Brooklyn Boyz Pizza, 2183, Vista Way, Pacifc Coast Plaza, Oceanside, San Diego County, California, 92054, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.531,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""Brooklyn Boyz Pizza"",""house_number"":""2183"",""road"":""Vista Way"",""commercial"":""Pacifc Coast Plaza"",""city"":""Oceanside"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92054"",""country"":""United States of America"",""country_code"":""us""}}]",-117.3408953,33.182473,POINT(-13062328.714 3919549.32404),<a href='https://www.yelp.com/biz/los-tacos-oceanside'>https://www.yelp.com/biz/los-tacos-oceanside</a>,4,4.2,,7.9,3.5,,,20.5,21.5,0.75,3.5,4.5,4.5,4,1.5,1.5,3,4,5,3.5,Yes,Scott,,,,,X,,X,X,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Los Tacos 2,Al pastor tradicional ,3,2017-05-13,Oceanside,3480 Marron Rd,"[{""place_id"":""123211948"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""225875523"",""boundingbox"":[""33.1764876"",""33.1766955"",""-117.3369605"",""-117.3362034""],""lat"":""33.176549"",""lon"":""-117.33667"",""display_name"":""Marron Road, Plaza Camino Real, Carlsbad, San Diego County, California, 92008, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.235,""address"":{""road"":""Marron Road"",""commercial"":""Plaza Camino Real"",""city"":""Carlsbad"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92008"",""country"":""United States of America"",""country_code"":""us""}}]",-117.33667,33.176549,POINT(-13061858.3558 3918761.40513),<a href='https://www.yelp.com/biz/los-tacos-oceanside-2'>https://www.yelp.com/biz/los-tacos-oceanside-2</a>,4.5,5,,8.25,3.8,430,0.632352941,22.5,19.5,0.68,4,,4,3,3,2.5,4,3,5,3.6,,Scott,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lourdes,Carnitas,2,2017-03-03,Encinitas,2113 San Elijo Ave,"[{""place_id"":""164456279"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436402225"",""boundingbox"":[""33.022488"",""33.0227785"",""-117.2835285"",""-117.283348""],""lat"":""33.0225991"",""lon"":""-117.283417"",""display_name"":""San Elijo Avenue, Encinitas, San Diego County, California, 92007, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.545,""address"":{""road"":""San Elijo Avenue"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92007"",""country"":""United States of America"",""country_code"":""us""}}]",-117.283417,33.0225991,POINT(-13055930.2589 3898304.00026),<a href='https://www.yelp.com/biz/lourdes-encinitas-2'>https://www.yelp.com/biz/lourdes-encinitas-2</a>,4,4.7,,7.35,3.5,415,0.691666667,21,19,0.6,3.5,3,3.5,3,4.5,4.5,4,4,5,3.75,,Emily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Surf & Turf,10,2016-08-30,North Park,3016 University Ave,"[{""place_id"":""128395017"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""240066910"",""boundingbox"":[""32.7484184"",""32.748486"",""-117.1496996"",""-117.1495412""],""lat"":""32.748486"",""lon"":""-117.1496996"",""display_name"":""University Avenue, North Park, San Diego, San Diego County, California, 92103, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.535,""address"":{""road"":""University Avenue"",""suburb"":""North Park"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92103"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1496996,32.748486,POINT(-13041044.9061 3861967.07435),<a href='https://www.yelp.com/biz/lucha-libre-san-diego'>https://www.yelp.com/biz/lucha-libre-san-diego</a>,3.5,4.3,x,8.25,4,,,19,22.5,0.77,3,2.5,3,3,3,3,3.5,3,3,3,Yes,Hannah,,,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,,,
Lupe's Taco Shop,Hot cheetos,5,2017-01-12,Linda Vista,7621 Linda Vista Rd,"[{""place_id"":""108365500"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""157976449"",""boundingbox"":[""32.7639732"",""32.7648439"",""-117.1978446"",""-117.197363""],""lat"":""32.7644056"",""lon"":""-117.1976402"",""display_name"":""Linda Vista Road, Old Town, San Diego, San Diego County, California, 92110, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.535,""address"":{""road"":""Linda Vista Road"",""suburb"":""Old Town"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92110"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1976402,32.7644056,POINT(-13046381.6292 3864074.33693),<a href='https://www.yelp.com/biz/lupes-taco-shop-san-diego'>https://www.yelp.com/biz/lupes-taco-shop-san-diego</a>,3.5,4.5,x,7.29,3.5,,,19,21.5,0.7,3,2,3.5,3.5,3,2.5,3.7,3.2,4.2,3.7,,Scott,"Cheese is cold, but guac, salsa, and chips are good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matador Mexican Food,Carnitas,2,2016-10-02,Morena,5201 Linda Vista Rd,"[{""place_id"":""5766365"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596864580"",""boundingbox"":[""32.76537"",""32.76547"",""-117.196458"",""-117.196358""],""lat"":""32.76542"",""lon"":""-117.196408"",""display_name"":""5201, Linda Vista Road, Old Town, San Diego, San Diego County, California, 92110, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.421,""address"":{""house_number"":""5201"",""road"":""Linda Vista Road"",""suburb"":""Old Town"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92110"",""country"":""United States of America"",""country_code"":""us""}}]",-117.196408,32.76542,POINT(-13046244.4614 3864208.62488),<a href='https://www.yelp.com/biz/matador-mexican-grill-san-diego-2'>https://www.yelp.com/biz/matador-mexican-grill-san-diego-2</a>,4.5,4,X,6.6,3.2,,,,,,1.4,3.7,3,3.2,4.8,2.4,3,2.9,3,3,No,Scott,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mi Asador Mexican & Seafood ,California ,2,2016-04-27,Oceanside,4750 Oceanside Blvd,"[{""place_id"":""5169983"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596093923"",""boundingbox"":[""33.216671"",""33.216771"",""-117.271782"",""-117.271682""],""lat"":""33.216721"",""lon"":""-117.271732"",""display_name"":""4750, Oceanside Boulevard, Oceanside, San Diego County, California, 92056, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.441,""address"":{""house_number"":""4750"",""road"":""Oceanside Boulevard"",""city"":""Oceanside"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92056"",""country"":""United States of America"",""country_code"":""us""}}]",-117.271732,33.216721,POINT(-13054629.4907 3924105.5084),<a href='https://sites.google.com/site/miasador/'>https://sites.google.com/site/miasador/</a>,4.5,4.4,x,6.89,3,,,25,22,0.96,3,2.5,3,2.5,2.5,2,3.5,3,4,3,No,Scott,,,,X,,X,x,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikes Taco Club,California,1,2016-03-23,Ocean Beach,5060 Newport Ave,"[{""place_id"":""127667903"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""237056982"",""boundingbox"":[""32.739403"",""32.747818"",""-117.252617"",""-117.238918""],""lat"":""32.7436805"",""lon"":""-117.2458649"",""display_name"":""Newport Avenue, Ocean Beach, San Diego, San Diego County, California, 92110, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.535,""address"":{""road"":""Newport Avenue"",""suburb"":""Ocean Beach"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92110"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2458649,32.7436805,POINT(-13051749.9783 3861331.04881),<a href='http://www.mikestacoclub.com/menu/'>http://www.mikestacoclub.com/menu/</a>,4.5,4.9,,8.59,2.5,,,,,,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mister Falafel,Chicken Shawarma,1,2016-12-15,Clairemont,4461 Clairemont Mesa Blvd,"[{""place_id"":""163667385"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436322858"",""boundingbox"":[""32.8307012"",""32.8312462"",""-117.2157687"",""-117.2156491""],""lat"":""32.8308829"",""lon"":""-117.2157296"",""display_name"":""Clairemont Mesa Boulevard, Clairemont, San Diego, San Diego County, California, 92037, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.455,""address"":{""road"":""Clairemont Mesa Boulevard"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2157296,32.8308829,POINT(-13048395.332 3872877.95087),<a href='https://www.yelp.com/biz/mister-falafel-san-diego'>https://www.yelp.com/biz/mister-falafel-san-diego</a>,4.5,4.6,,6.99,3.7,,,24,18.5,0.65,3.6,4,4,3,3.8,4.3,,3.8,2,3.5,Yes,Scott,Richard recommended this. Like a Mediterranean burrito,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Ruribertos Taco Shop ,California,2,2016-12-10,Mission Beach,3202 Mission Blvd,"[{""place_id"":""5567680"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596428442"",""boundingbox"":[""32.77218"",""32.77228"",""-117.251465"",""-117.251365""],""lat"":""32.77223"",""lon"":""-117.251415"",""display_name"":""3202, Mission Boulevard, Mission Beach, San Diego, San Diego County, California, 92109, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.521,""address"":{""house_number"":""3202"",""road"":""Mission Boulevard"",""suburb"":""Mission Beach"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92109"",""country"":""United States of America"",""country_code"":""us""}}]",-117.251415,32.77223,POINT(-13052367.8126 3865110.18355),<a href='https://www.yelp.com/biz/ruribertos-taco-shop-san-diego'>https://www.yelp.com/biz/ruribertos-taco-shop-san-diego</a>,3.5,3.7,,7.75,4,,,20,21,0.7,3.5,2.5,3,3.3,1.4,2.3,2.2,3.3,4.5,2.9,No,Scott,,,,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netos Mexican Food,California ,2,2016-05-26,San Marcos,325 S Rancho Santa Fe Rd,"[{""place_id"":""163803215"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436259363"",""boundingbox"":[""33.1494301"",""33.1496631"",""-117.1987083"",""-117.1985266""],""lat"":""33.1495621"",""lon"":""-117.1986269"",""display_name"":""South Rancho Santa Fe Road, Villa Vista Estates Mobil Home Park, San Marcos, San Diego County, California, 92078, United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.735,""address"":{""road"":""South Rancho Santa Fe Road"",""neighbourhood"":""Villa Vista Estates Mobil Home Park"",""city"":""San Marcos"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92078"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1986269,33.1495621,POINT(-13046491.4682 3915172.69858),<a href='https://www.yelp.com/biz/netos-mexican-food-san-marcos'>https://www.yelp.com/biz/netos-mexican-food-san-marcos</a>,4.5,4.1,x,5.99,4,,,20.5,23.5,0.9,4.5,5,3,4,2,2,2,3.75,4,3.2,Yes,Scott,not 100% certain about the ingredients (was there guac and pico?),,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico's Taco Shop,California,2,2016-01-30,Carmel Valley,3860 Valley Centre Dr,"[{""place_id"":""22423517"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""2184863603"",""boundingbox"":[""32.9380083"",""32.9381083"",""-117.2326812"",""-117.2325812""],""lat"":""32.9380583"",""lon"":""-117.2326312"",""display_name"":""Nico's Taco Shop, 3860, Valley Centre Drive, Carmel Valley, San Diego, San Diego County, California, 92130, United States of America"",""class"":""amenity"",""type"":""cafe"",""importance"":0.721,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_cafe.p.20.png"",""address"":{""cafe"":""Nico's Taco Shop"",""house_number"":""3860"",""road"":""Valley Centre Drive"",""suburb"":""Carmel Valley"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92130"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2326312,32.9380583,POINT(-13050276.8095 3887085.12186),<a href='http://www.yelp.com/biz/nicos-taco-shop-san-diego'>http://www.yelp.com/biz/nicos-taco-shop-san-diego</a>,3,2.9,,7.19,1.5,,,,,,2,3,3,2,2.5,2.5,,2,3,2.6,,Scott,not fries. big potatoes,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ortiz's Taco Shop #2,California,2,2016-11-02,Pacific Beach,1313 Garnet Ave,"[{""place_id"":""165151196"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436320393"",""boundingbox"":[""32.8010859"",""32.8011316"",""-117.2349439"",""-117.2347376""],""lat"":""32.8010859"",""lon"":""-117.2349439"",""display_name"":""Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.535,""address"":{""road"":""Garnet Avenue"",""suburb"":""Pacific Beach"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92109"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2349439,32.8010859,POINT(-13050534.2581 3868931.10892),<a href='https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2'>https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2</a>,4,4.2,,6.39,4,,,20,21,0.7,4,4,4,4,4.5,4.5,4.2,4.5,4.5,4.25,Yes,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,California ,3,2016-01-24,San Marcos,225 S Rancho Santa Fe Rd,"[{""place_id"":""5644968"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596439547"",""boundingbox"":[""33.145189"",""33.145289"",""-117.200321"",""-117.200221""],""lat"":""33.145239"",""lon"":""-117.200271"",""display_name"":""225, South Rancho Santa Fe Road, Palomar West Mobile Home Park, San Elijo Hills, San Marcos, San Diego County, California, 92078, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.821,""address"":{""house_number"":""225"",""road"":""South Rancho Santa Fe Road"",""neighbourhood"":""Palomar West Mobile Home Park"",""suburb"":""San Elijo Hills"",""city"":""San Marcos"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92078"",""country"":""United States of America"",""country_code"":""us""}}]",-117.200271,33.145239,POINT(-13046674.4886 3914597.91718),<a href='http://www.yelp.com/biz/oscars-mexican-food-san-marcos'>http://www.yelp.com/biz/oscars-mexican-food-san-marcos</a>,3.5,3.3,,5.45,3.5,,,,,,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,,Scott,Fries: 3/5; too little meat,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Chito's Mexican Food,California,1,2016-08-09,University City,3951 Governor Dr,"[{""place_id"":""164438312"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436322185"",""boundingbox"":[""32.8523219"",""32.8545453"",""-117.2096757"",""-117.2060109""],""lat"":""32.8532065"",""lon"":""-117.2083685"",""display_name"":""Governor Drive, University City, San Diego, San Diego County, California, 92037, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.535,""address"":{""road"":""Governor Drive"",""neighbourhood"":""University City"",""suburb"":""University City"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2083685,32.8532065,POINT(-13047575.8981 3875835.75129),<a href='https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego'>https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego</a>,2.5,3.3,,6.25,3.5,,,21.5,20,0.68,3.5,3.5,2.5,2.5,2.5,4,2,1.5,5,2.2,No,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro's Tacos,California Burrito,1,2016-05-22,Oceanside,,"[{""place_id"":""179723601"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""relation"",""osm_id"":""2305280"",""boundingbox"":[""33.1524845"",""33.3000686"",""-117.3998741"",""-117.236575""],""lat"":""33.1958696"",""lon"":""-117.3794834"",""display_name"":""Oceanside, San Diego County, California, United States of America"",""class"":""place"",""type"":""city"",""importance"":0.33402203262939,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/poi_place_city.p.20.png"",""address"":{""city"":""Oceanside"",""county"":""San Diego County"",""state"":""California"",""country"":""United States of America"",""country_code"":""us""}}]",-117.3794834,33.1958696,POINT(-13066624.3217 3921331.32918),,,,,6.5,5,,,,,,3,,4,5,4,4,,5,5,5,Yes,Erika N,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokirrito,Pokirrito classic ,2,2016-05-29,Kearny Mesa,4646 Convoy St,"[{""place_id"":""137199572"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""283725080"",""boundingbox"":[""32.8363321"",""32.8366553"",""-117.1522992"",""-117.1522532""],""lat"":""32.8366104"",""lon"":""-117.1522593"",""display_name"":""Convoy Street, Clairemont, San Diego, San Diego County, California, 92111-2201, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.335,""address"":{""road"":""Convoy Street"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92111-2201"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1522593,32.8366104,POINT(-13041329.8506 3873636.75404),<a href='https://www.yelp.com/biz/pokirrito-san-diego-2'>https://www.yelp.com/biz/pokirrito-san-diego-2</a>,4,4.3,x,11.95,4,,,18,23.5,0.79,3.5,4,4,4.5,2.5,2.5,3,4,2,4.2,Yes,Scott,Lotus chips add good crunch,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
