Location,Burrito,Number of Burritos,Date,Neighborhood,Address,JSON,lon,lat,Coverage,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa2,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Place,By
Pollos Maria,California,3,2016-01-27,Carlsbad,3055 Harding St,"[{""place_id"":""178917023"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""498120851"",""boundingbox"":[""33.1611346"",""33.1612744"",""-117.3444151"",""-117.344254""],""lat"":""33.1611938"",""lon"":""-117.344342665012"",""display_name"":""Pollo Maria, 3055, Harding Street, Carlsbad, San Diego County, California, 92008, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.531,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""Pollo Maria"",""house_number"":""3055"",""road"":""Harding Street"",""city"":""Carlsbad"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92008"",""country"":""United States of America"",""country_code"":""us""}}]",-117.344342665012,33.1611938,POINT(-13062712.4729 3916719.34169),<a href='http://pollosmaria.com/'>http://pollosmaria.com/</a>,4,3.8,x,6.59,4,,,,,,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porkyland ,Deborah's special,3,2016-04-02,Carmel Valley,4645 Carmel Mountain Rd,"[{""place_id"":""21923169"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""2148537624"",""boundingbox"":[""32.9203551"",""32.9204551"",""-117.2141165"",""-117.2140165""],""lat"":""32.9204051"",""lon"":""-117.2140665"",""display_name"":""BBQ Republic, 4645, Carmel Mountain Road, Carmel Valley, San Diego, San Diego County, California, 92130, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.621,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""BBQ Republic"",""house_number"":""4645"",""road"":""Carmel Mountain Road"",""suburb"":""Carmel Valley"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92130"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2140665,32.9204051,POINT(-13048210.1966 3884743.83099),<a href='http://goporkyland.com/'>http://goporkyland.com/</a>,4,4.4,x,8.25,3.5,,,,,,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,,Scott,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
"Qdoba Mexican Grill, Seatac Airport",Custom,1,2016-03-19,Seattle,Airport,"[{""place_id"":""105421890"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""156007704"",""boundingbox"":[""47.5110636"",""47.5137819"",""-122.2881501"",""-122.2865882""],""lat"":""47.5110636"",""lon"":""-122.2865882"",""display_name"":""Airport Way South, Rainier Valley, Seattle, King County, Washington, 98178, United States of America"",""class"":""highway"",""type"":""trunk_link"",""importance"":0.22875,""address"":{""road"":""Airport Way South"",""suburb"":""Rainier Valley"",""city"":""Seattle"",""county"":""King County"",""state"":""Washington"",""postcode"":""98178"",""country"":""United States of America"",""country_code"":""us""}}]",-122.2865882,47.5110636,POINT(-13612880.7293 6025895.30168),,,,,9.5,5,,,,,,3,3,3.5,3,4,1,3,2.5,5,3,,Sage,,x,,,x,x,x,,,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
Raul's Mexican food,Chile verde pork,2,2016-03-11,Encinitas,490 S Coast Hwy 101,"[{""place_id"":""163891966"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436442867"",""boundingbox"":[""33.043362"",""33.0438111"",""-117.2935505"",""-117.293488""],""lat"":""33.0438111"",""lon"":""-117.2935505"",""display_name"":""South Coast Highway 101, Encinitas, San Diego County, California, 92007, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.545,""address"":{""road"":""South Coast Highway 101"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92007"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2935505,33.0438111,POINT(-13057058.315 3901120.59903),<a href='https://www.yelp.com/biz/rauls-shack-encinitas'>https://www.yelp.com/biz/rauls-shack-encinitas</a>,4,4.2,,5,3.5,,,,,,2,,2.5,2,2,2,2,2.5,,2,,Emily,,,,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Carne asada,12,2016-03-08,Miramar,7094 Miramar Rd,"[{""place_id"":""166773183"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436428517"",""boundingbox"":[""32.893698"",""32.8937565"",""-117.1234455"",""-117.1188758""],""lat"":""32.8937565"",""lon"":""-117.1199398"",""display_name"":""Miramar Road, Mira Mesa, San Diego, San Diego County, California, SCRIPPS RANCH BLVD., United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.335,""address"":{""road"":""Miramar Road"",""suburb"":""Mira Mesa"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""SCRIPPS RANCH BLVD."",""country"":""United States of America"",""country_code"":""us""}}]",-117.1199398,32.8937565,POINT(-13037732.0603 3881210.39167),<a href='https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2'>https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2</a>,4,4.4,,6.6,3.5,,,,,,4,2,4,3.5,4.5,4,3.5,4,1,4.25,,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop La Jolla,California,1,2016-02-17,La Jolla,7345 La Jolla Blvd,"[{""place_id"":""5600999"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596271303"",""boundingbox"":[""32.837144"",""32.837244"",""-117.278053"",""-117.277953""],""lat"":""32.837194"",""lon"":""-117.278003"",""display_name"":""7345, La Jolla Boulevard, La Jolla, San Diego, San Diego County, California, 92037, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.621,""address"":{""house_number"":""7345"",""road"":""La Jolla Boulevard"",""suburb"":""La Jolla"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.278003,32.837194,POINT(-13055327.5752 3873714.07456),<a href='https://www.yelp.com/biz/rigobertos-la-jolla-2'>https://www.yelp.com/biz/rigobertos-la-jolla-2</a>,2.5,4,,6.4,4,,,,,,3,4,2.75,3,4,2,2,,5,3,,Leo,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto's Taco Shop Clairemont,California,3,2016-09-11,Clairemont,3095 Clairemont Dr,"[{""place_id"":""163997657"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436322841"",""boundingbox"":[""32.8304195"",""32.8308137"",""-117.2060408"",""-117.2059304""],""lat"":""32.8307301"",""lon"":""-117.2059558"",""display_name"":""Clairemont Drive, Clairemont, San Diego, San Diego County, California, 92037, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.455,""address"":{""road"":""Clairemont Drive"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2059558,32.8307301,POINT(-13047307.3176 3872857.70796),<a href='https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego'>https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego</a>,4,4,,5.79,4,,,,,,3,4.5,4,4,4,5,2.5,3,5,3.6,Yes,Scott,Fries are really good but the overall flavor is plain because lack of ingredients,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto's Taco Shop Hillcrest,Asada,4,2017-05-30,Hillcrest,420 Robinson Ave,"[{""place_id"":""137070173"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""293942574"",""boundingbox"":[""32.746403"",""32.7464225"",""-117.1555577"",""-117.1463465""],""lat"":""32.746414"",""lon"":""-117.150871"",""display_name"":""Robinson Avenue, North Park, Uptown, San Diego, San Diego County, California, 92103, United States of America"",""class"":""highway"",""type"":""tertiary"",""importance"":0.335,""address"":{""road"":""Robinson Avenue"",""neighbourhood"":""North Park"",""suburb"":""Uptown"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92103"",""country"":""United States of America"",""country_code"":""us""}}]",-117.150871,32.746414,POINT(-13041175.3057 3861692.83335),<a href='https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego'>https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego</a>,4,4.2,,7,3.5,450,0.625,19.5,21.5,0.72,4,4,2,2.5,4.5,4,3,2.9,4.5,2.8,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto's Very Mexican Food,Chicken asada,2,2016-05-24,Del Mar,2206 Carmel Valley Road,"[{""place_id"":""166561811"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436308931"",""boundingbox"":[""32.9363898"",""32.939053"",""-117.258163"",""-117.2574858""],""lat"":""32.9378269"",""lon"":""-117.257607"",""display_name"":""Carmel Valley Road, Del Mar, San Diego County, California, 92014, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.635,""address"":{""road"":""Carmel Valley Road"",""city"":""Del Mar"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92014"",""country"":""United States of America"",""country_code"":""us""}}]",-117.257607,32.9378269,POINT(-13053057.1029 3887054.42896),<a href='https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2'>https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2</a>,3.5,3.9,,6.5,2,,,18.5,21.5,0.68,1.5,4,2,2,4.5,1,1,2,5,1.5,No,Scott,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubios UCSD,Tilapia one,2,2016-08-30,UTC,9500 Gilman Dr,[],,,,<a href='https://www.yelp.com/biz/rubios-la-jolla-4'>https://www.yelp.com/biz/rubios-la-jolla-4</a>,3.5,3.4,x,7.99,3.5,,,17,20,0.54,1.5,4,3,3,1.5,4.5,2.5,3,1.5,3.2,No,Scott,,,,,,X,,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,x,,,
Rudy's Taco Shop,Chicken,2,2016-04-09,Solana Beach,524 Stevens Ave,"[{""place_id"":""41270741"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""3067766549"",""boundingbox"":[""32.9903202"",""32.9904202"",""-117.2607958"",""-117.2606958""],""lat"":""32.9903702"",""lon"":""-117.2607458"",""display_name"":""Rudy's Taco Shop, 524, Stevens Avenue, Solana Beach, San Diego County, California, 92075, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.621,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""Rudy's Taco Shop"",""house_number"":""524"",""road"":""Stevens Avenue"",""city"":""Solana Beach"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92075"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2607458,32.9903702,POINT(-13053406.5125 3894025.83825),<a href='http://www.rudystacoshop.com/'>http://www.rudystacoshop.com/</a>,4,4.3,,6.6,3.5,,,,,,3.5,3,4,4.5,3,1,3,4,0.5,2.8,No,Scott,"Salsa Fresca is good, way too small",,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senor Grubby's,California,2,2016-04-24,Carlsbad,377 Carlsbad Village Dr,"[{""place_id"":""5647703"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596945807"",""boundingbox"":[""33.158383"",""33.158483"",""-117.349986"",""-117.349886""],""lat"":""33.158433"",""lon"":""-117.349936"",""display_name"":""377, Carlsbad Village Drive, Carlsbad, San Diego County, California, 92008, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.641,""address"":{""house_number"":""377"",""road"":""Carlsbad Village Drive"",""city"":""Carlsbad"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92008"",""country"":""United States of America"",""country_code"":""us""}}]",-117.349936,33.158433,POINT(-13063335.1201 3916352.22525),<a href='eatgrubbys.com'>eatgrubbys.com</a>,4,4.1,,9,2,,,19,21.5,0.7,2,3.5,3,1.5,1,1,2.5,1.5,3.5,1.5,No,Scott,"The ends of the burrito were decent, but the middle was terrible without much meat",,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senor Panchos,Pollo asado,2,2016-08-21,San Marcos,1909 W San Marcos Blvd,"[{""place_id"":""5207601"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596035874"",""boundingbox"":[""33.131439"",""33.131539"",""-117.209546"",""-117.209446""],""lat"":""33.131489"",""lon"":""-117.209496"",""display_name"":""1909, West San Marcos Boulevard, Palomar West Mobile Home Park, San Elijo Hills, San Marcos, San Diego County, California, 92078, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.721,""address"":{""house_number"":""1909"",""road"":""West San Marcos Boulevard"",""neighbourhood"":""Palomar West Mobile Home Park"",""suburb"":""San Elijo Hills"",""city"":""San Marcos"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92078"",""country"":""United States of America"",""country_code"":""us""}}]",-117.209496,33.131489,POINT(-13047701.4109 3912769.96261),<a href='https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos'>https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos</a>,4,4.2,,6.25,3.5,,,21.5,19.5,0.65,2.5,3.5,3,3,5,4.5,3.5,2,5,2.9,No,Scott,"guac is good, very avocado-y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sotos Mexican Food,California,2,2016-05-04,Miramar ,6904 Miramar Rd,"[{""place_id"":""166773183"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436428517"",""boundingbox"":[""32.893698"",""32.8937565"",""-117.1234455"",""-117.1188758""],""lat"":""32.8937565"",""lon"":""-117.1199398"",""display_name"":""Miramar Road, Mira Mesa, San Diego, San Diego County, California, SCRIPPS RANCH BLVD., United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.335,""address"":{""road"":""Miramar Road"",""suburb"":""Mira Mesa"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""SCRIPPS RANCH BLVD."",""country"":""United States of America"",""country_code"":""us""}}]",-117.1199398,32.8937565,POINT(-13037732.0603 3881210.39167),<a href='https://www.yelp.com/biz/sotos-mexican-food-san-diego'>https://www.yelp.com/biz/sotos-mexican-food-san-diego</a>,4.5,4.6,x,6.75,3,,,22.5,23,0.95,4.5,4,3,4,1,3,4.5,3.5,4.5,3.5,Yes,Scott,Fries are good. Too little meat,,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Stand,California,5,2016-02-12,La Jolla,621 Pearl St,"[{""place_id"":""102921100"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""138876907"",""boundingbox"":[""32.839115"",""32.8405185"",""-117.278488"",""-117.2725065""],""lat"":""32.839802"",""lon"":""-117.27552"",""display_name"":""Pearl Street, La Jolla, San Diego, San Diego County, California, 92037, United States of America"",""class"":""highway"",""type"":""tertiary"",""importance"":0.535,""address"":{""road"":""Pearl Street"",""suburb"":""La Jolla"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.27552,32.839802,POINT(-13055051.1689 3874059.6118),<a href='http://letstaco.com/'>http://letstaco.com/</a>,4.5,4.4,,7.49,4,,,,,,3,2.5,4,4,3.5,2.5,3.5,5,4.5,4.2,,Emily,Horchata is very sweet,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Stand Encinitas,California ,1,2016-10-29,Encinitas ,642 S Coast Hwy 101,"[{""place_id"":""5609209"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596565833"",""boundingbox"":[""33.044025"",""33.044125"",""-117.293932"",""-117.293832""],""lat"":""33.044075"",""lon"":""-117.293882"",""display_name"":""642, South Coast Highway 101, Encinitas, San Diego County, California, 92024, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.631,""address"":{""house_number"":""642"",""road"":""South Coast Highway 101"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92024"",""country"":""United States of America"",""country_code"":""us""}}]",-117.293882,33.044075,POINT(-13057095.2174 3901155.6448),<a href='https://www.yelp.com/biz/the-taco-stand-encinitas'>https://www.yelp.com/biz/the-taco-stand-encinitas</a>,4,4.4,,7.49,4,,,17.5,23.5,0.77,2,3.5,4.2,4.3,4,2.2,4.5,4,2.2,4.2,Yes,Scott,Much better than the first time we tried this location ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Surf PB,California,3,2016-05-23,Pacific Beach,4657 Mission Blvd,"[{""place_id"":""165522082"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436608592"",""boundingbox"":[""32.8039606"",""32.8041228"",""-117.2577996"",""-117.2577493""],""lat"":""32.804024"",""lon"":""-117.257767"",""display_name"":""Mission Boulevard, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.435,""address"":{""road"":""Mission Boulevard"",""suburb"":""Pacific Beach"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92109"",""country"":""United States of America"",""country_code"":""us""}}]",-117.257767,32.804024,POINT(-13053074.914 3869320.22406),<a href='https://www.yelp.com/biz/taco-surf-taco-shop-san-diego'>https://www.yelp.com/biz/taco-surf-taco-shop-san-diego</a>,4,4.6,,7.14,3.5,,,20,23,0.84,4,2,4,5,4,2,4,4.5,5,4.4,Yes,Scott,not too much rice,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Villa,Carnitas,11,2016-09-26,UTC,9500 Gilman Dr,[],,,,<a href='https://www.yelp.com/biz/taco-villa-san-diego'>https://www.yelp.com/biz/taco-villa-san-diego</a>,3.5,3.5,,5.99,2.5,,,18.5,20,0.59,3.2,3.8,4.5,2.8,4,2,1.8,3.5,5,4,Yes,Scott,Carnitas very good,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacos La Bala,Pastor,2,2016-09-05,Houston,5800 Bellaire Blvd,"[{""place_id"":""161103130"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""423468844"",""boundingbox"":[""29.7055415"",""29.7055621"",""-95.4925601"",""-95.4908928""],""lat"":""29.705551"",""lon"":""-95.4917683"",""display_name"":""Bellaire Boulevard, Houston, Harris County, Texas, 77074, United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.235,""address"":{""road"":""Bellaire Boulevard"",""city"":""Houston"",""county"":""Harris County"",""state"":""Texas"",""postcode"":""77074"",""country"":""United States of America"",""country_code"":""us""}}]",-95.4917683,29.705551,POINT(-10630095.0221 3465757.04291),<a href='tacoslabala.com'>tacoslabala.com</a>,4.5,4.1,,4.99,3.5,,,,,,2.5,2.5,4,2.5,1,1,2,4,0,2.5,No,Scott,Everything is in spanish. Get a taco or sope,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacos por favor,Carne asada,2,2016-06-11,Santa Monica,1408 Olympic Blvd,"[{""place_id"":""81189130"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""43051095"",""boundingbox"":[""34.0148147"",""34.0151965"",""-118.4868589"",""-118.4863415""],""lat"":""34.0151965"",""lon"":""-118.4863415"",""display_name"":""Olympic Boulevard, Santa Monica, Los Angeles County, California, 90401-2405, United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.435,""address"":{""road"":""Olympic Boulevard"",""city"":""Santa Monica"",""county"":""Los Angeles County"",""state"":""California"",""postcode"":""90401-2405"",""country"":""United States of America"",""country_code"":""us""}}]",-118.4863415,34.0151965,POINT(-13189839.2017 4030842.72737),<a href='https://www.yelp.com/biz/el-dorado-mexican-food-temecula'>https://www.yelp.com/biz/el-dorado-mexican-food-temecula</a>,4,4.1,x,7.85,3,,,16.5,20.5,0.55,3,4.5,4.5,3.5,3.5,3.5,1,4,1,3.5,Yes,Scott,,,x,X,X,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Tony's Fresh Mexican Food,Chile verde pork,3,2016-02-11,Miramar,7122 Miramar Rd,"[{""place_id"":""166773183"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436428517"",""boundingbox"":[""32.893698"",""32.8937565"",""-117.1234455"",""-117.1188758""],""lat"":""32.8937565"",""lon"":""-117.1199398"",""display_name"":""Miramar Road, Mira Mesa, San Diego, San Diego County, California, SCRIPPS RANCH BLVD., United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.335,""address"":{""road"":""Miramar Road"",""suburb"":""Mira Mesa"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""SCRIPPS RANCH BLVD."",""country"":""United States of America"",""country_code"":""us""}}]",-117.1199398,32.8937565,POINT(-13037732.0603 3881210.39167),<a href='https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego'>https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego</a>,3,4.1,x,6.95,2,,,,,,3,4,4,3,4,4,1,2,1,3,,Marc,,,,,x,,,x,,x,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,
Valentines Mexican Food,California ,4,2016-10-01,Downtown,1157 Sixth Ave,"[{""place_id"":""138566315"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""302179625"",""boundingbox"":[""40.4380383"",""40.4381564"",""-79.9943727"",""-79.9942974""],""lat"":""40.4380383"",""lon"":""-79.9942974"",""display_name"":""Sixth Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15219, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.335,""address"":{""road"":""Sixth Avenue"",""suburb"":""Downtown"",""city"":""PGH"",""county"":""Allegheny County"",""state"":""Pennsylvania"",""postcode"":""15219"",""country"":""United States of America"",""country_code"":""us""}}]",-79.9942974,40.4380383,POINT(-8904924.45293 4929802.4889),<a href='https://www.yelp.com/biz/valentines-mexican-food-san-diego-6'>https://www.yelp.com/biz/valentines-mexican-food-san-diego-6</a>,4,4,X,7.9,4,,,20,22,0.77,4,4,4,4,4.5,4,4,4,2.5,4.2,Yes,Scott,Best horchata. Fries are great. Chips are really good,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Quesaburro,6,2016-03-21,Clairemont,4277 Genesee Ave,"[{""place_id"":""5860111"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596697970"",""boundingbox"":[""32.821317"",""32.821417"",""-117.182519"",""-117.182419""],""lat"":""32.821367"",""lon"":""-117.182469"",""display_name"":""4277, Genesee Avenue, Clairemont, San Diego, San Diego County, California, 92117, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.531,""address"":{""house_number"":""4277"",""road"":""Genesee Avenue"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92117"",""country"":""United States of America"",""country_code"":""us""}}]",-117.182469,32.821367,POINT(-13044692.779 3871617.35282),<a href='http://www.vallartaexpress.com/menu/'>http://www.vallartaexpress.com/menu/</a>,3.5,4,,6.95,3.5,,,,,,3,4,3.5,4,4,4,3.5,4.5,4.5,4.1,,Scott,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
