Timestamp,How long have you worked in libraries?,How many tabs do you currently have open in your browser?,How many pairs of shoes do you own?,How do you organize your books at home?,Do you consider yourself a first-generation college student?,Did you have any wisdom teeth removed?,How many books are you currently reading?,Do you exercise indoors or outdoors?,What year did you attend your first concert?,How you pronounce “caramel”?,What is your favorite grocery store chain?,How many closets do you have?,How long is your average vacation?,What is your favorite color?,Is daycare or daycare assistance available at your workplace?,Do you use renewable energy at home?,Do you compost or recycle?,What is the height of the room you are currently in?,Have you ever had a subscription to any of the following?
6/14/2019 11:32:09,14 years,25,20,randomly,Yes,"Yes, all wisdom teeth",1-5,Both,1985,care-a-mel,Wegmans,7,4 days,blue,I don't know,No,"Yes, recycle",14 feet,"Better Homes and Gardens, Consumer Reports, Cooks World, Economist, Entertainment Weekly, New Yorker, New York Times, Real Simple, Wall Street Journal"
6/14/2019 12:17:36,35 years,12,50+,Electronically,Yes,"Yes, all wisdom teeth",1-5,Both,1987,care-a-mel,Trader Joe's,4,2 weeks,Green,Yes,"Yes, solar","Yes, compost, Yes, recycle",10ft,"Los Angeles Times, Vogue"
6/14/2019 12:17:43,13,12,15,Genre and author,No,"Yes, all wisdom teeth",1-5,Both,1984,care-a-mel,Whole Foods,5,7 days,purple,Yes,No,"Yes, compost",10 ft.,"Boston Globe, Cosmopolitan, New Yorker, New York Times, Real Simple"
6/14/2019 12:25:36,40 years,7,30,By author,Yes,No,1-5,Both,1977,care-a-mel,Harris Teeter,6,1 week,Blue,No,No,No,10 feet,"Better Homes and Gardens, Chicago Tribune, Consumer Reports, USA Today, Washington Post"
6/14/2019 12:27:11,33 years,18,12,Books by friends; books by us; lit crit; fiction; poetry; cultural crit; misc,No,"Yes, 2 wisdom teeth",1-5,Both,1970,care-a-mel,Trader Joe's,10,3 days,red,No,"Yes, solar","Yes, compost, Yes, recycle",7.5 feet,New York Times
7/2/2019 14:24:03,7 years,18,15,Alphabetically,No,"Yes, 2 wisdom teeth",1-5,Both,1995,care-a-mel,Sprouts,3,3 weeks,blue,I don't know,"If I didn't rent, I would go solar!","Yes, recycle",12 feet,"Los Angeles Times, New Yorker"
7/2/2019 14:24:29,35 years,3,30,Subject,No,"Yes, all wisdom teeth",1-5,I don't exercise,1974,care-a-mel,Fresh Market,2,6 days,green,I don't know,No,"Yes, recycle",7',"Entertainment Weekly, New York Times"
7/2/2019 14:26:28,8 years,19,,I don't have books at home - I work in a library!,Yes,"Yes, all wisdom teeth",1-5,Outdoors,2001,car-mel,,2,3 days,purple,I don't know,No,"Yes, recycle",,Chicago Tribune
7/2/2019 14:31:13,7 years,10,13,"By subject, size, and sentimentality",Yes,"Yes, all wisdom teeth",1-5,Both,1997,care-a-mel,H.E.B.,5,5 days,Pink,I don't know,No,"Yes, compost, Yes, recycle",,New York Times
7/2/2019 14:32:44,14  years,4,Over 20,No organization system,Yes,"Yes, all wisdom teeth",0,Outdoors,1986,car-mel,Cermak Produce,2,1 week,blue,No,No,"Yes, compost, Yes, recycle",Estimate: 10 feet,"Chicago Tribune, Economist, New Yorker, New York Times, Real Simple, Sports Illustrated, Vogue"
7/2/2019 14:45:58,20 years,5,6,Loosely by genre and topic,No,No,1-5,Outdoors,1986,car-mel,Jungle Jim's,2,10 days,blue,I don't know,No,"Yes, recycle",10 feet,"Boston Globe, Economist, New Yorker, New York Times, Washington Post"
7/2/2019 15:00:01,23 years,15,20?,in totes :(,No,"Yes, all wisdom teeth",1-5,Both,1990,care-a-mel,Vons,3,2 days,black,I don't know,No,"Yes, recycle",standard,
7/2/2019 15:18:39,20+ years,15,15,By size ,Yes,"Yes, all wisdom teeth",1-5,Indoors,10,care-a-mel,Sprouts,4,,black,No,No,"Yes, recycle",12',New Yorker
7/2/2019 22:46:26,2 years,15,20,Random,No,"Yes, 3 wisdom teeth",1-5,Both,1998,car-mel,Wegmans ,2,10 days,Green,Yes,No,"Yes, recycle",9ft,"Better Homes and Gardens, Real Simple"
7/3/2019 9:07:44,15 years,33,20,size,No,"Yes, 3 wisdom teeth",1-5,I don't exercise,2008,car-mel,QFC,5,5 days,green,Yes,No,"Yes, compost, Yes, recycle",no idea,Better Homes and Gardens
7/3/2019 10:12:44,17 years,3,20,"alphabetical by author, some sections by topic (displayed)",No,"Yes, all wisdom teeth",1-5,Both,1989,car-mull,Whole Foods,2,1 week,green (but I always wear blue),I don't know,No,"Yes, recycle",12,"Consumer Reports, Economist, New Yorker, New York Times, Sports Illustrated"
7/3/2019 14:03:42,17 years,6,15,alpha order,Yes,"Yes, 2 wisdom teeth",1-5,Indoors,1978,care-a-mel,Whole Foods,One,5 days,Blue,Yes,No,"Yes, recycle",12 feet,"Ebony, Jet, New York Times, O Magazine, USA Today"
7/4/2019 7:58:46,13 years,3,12,I don't.,Yes,"Yes, all wisdom teeth",1-5,Both,1994,care-a-mel,President's Choice,5,1 week,Blue,Yes,No,"Yes, compost, Yes, recycle",8 feet,Toronto Star
7/5/2019 9:21:27,5 years,99,at least a dozen,"mostly by author last name, but within larger categories of fiction, non-fiction, and art books",No,"Yes, all wisdom teeth",1-5,Both,1999,car-mel,Trader Joe's,4,1 week,green or blue or purple,No,No,"Yes, recycle","not sure, maybe 16 feet?",Consumer Reports
7/8/2019 8:27:55,5 years,,15,,No,"Yes, all wisdom teeth",1-5,Both,,care-a-mel,,2,2 weeks,,,,"Yes, recycle",,"Atlanta Journal-Constitution, Boston Globe, Consumer Reports, New Yorker, New York Times, Vogue"
7/9/2019 12:17:02,6 years,7,5,alphabetical by author,No,"Yes, all wisdom teeth",1-5,Indoors,2002,car-mel,Harvest Market,3,5 days,green,No,No,"Yes, recycle",10 feet,"Entertainment Weekly, New Yorker"
7/10/2019 9:38:39,11 years,4,6,by height,Yes,"Yes, all wisdom teeth",1-5,Both,1996,car-mel,Trader Joe's,1,5 days,red,Yes,No,"Yes, recycle",10 feet,Wall Street Journal
7/10/2019 14:32:48,35 years,5,4,by author,Yes,"Yes, 2 wisdom teeth",1-5,I don't exercise,1979,care-a-mel,Wegmans,4,0 days,grey,I don't know,No,"Yes, recycle",no idea,"Better Homes and Gardens, O Magazine, Real Simple"
7/15/2019 15:35:11,Three years ,18,10,By author's last name ,Yes,No,1-5,Both,2005,cara-mel,Provigo ,Two,three days ,Green ,Yes,No,"Yes, recycle",10 feet,New Yorker
7/15/2019 16:39:08,9 years ,24,6,Alphabetically,No,"Yes, all wisdom teeth",1-5,Indoors,1997,care-a-mel,trader joes,1,1 week ,pink or gray ,I don't know,No,"Yes, recycle",idk ,
7/15/2019 16:45:09,22 years,one,absolutely no idea,"by broad subject areas: history, gender studies, knitting, etc.",No,"Yes, all wisdom teeth",1-5,Outdoors,high school,care-a-mel,Trader Joes,three downstairs two upstairs,5 days,green,No,No,"Yes, compost, Yes, recycle",seriously?,New Yorker
7/15/2019 16:46:25,22 years,19 (3 different windows with +5 tabs in each),20+,by size,No,"Yes, 1 wisdom tooth",1-5,Both,1995,car-mel,Sprouts,2,5,orange,Yes,No,"Yes, recycle",15,Real Simple
7/15/2019 16:59:17,7 years,8,12,by colour ,No,"Yes, all wisdom teeth",1-5,Both,1996,care-a-mel,Co-op,2,one week,green,Yes,"Yes, solar","Yes, compost, Yes, recycle",10 feet,"Globe and Mail, New Yorker"
7/15/2019 17:30:15,15 years,5,15,By subjecr,Yes,"Yes, all wisdom teeth",1-5,Both,1979,care-a-mel,Trader joes,4,5 days,Blue,I don't know,No,"Yes, recycle",9 feet,"New Yorker, New York Times, Washington Post"
7/15/2019 18:52:32,26,18,10,by size,No,"Yes, all wisdom teeth",1-5,Both,1972,car-mel,Trader Joes,4,1 week,blue,Yes,No,"Yes, recycle",14 feet,New York Times
7/15/2019 19:34:37,5 years,5,15,Categorically ,No,"Yes, all wisdom teeth",1-5,Both,1999,car-mel,Meijer,8,3 days,Red,Yes,No,No,7ft,Cosmopolitan
7/16/2019 8:48:11,12 years,3,8,by category,No,"Yes, all wisdom teeth",1-5,Both,15,care-a-mel,Aldi's,2,7 days,blue,Yes,No,"Yes, recycle",14 ft,"Economist, New Yorker, New York Times"
7/16/2019 11:59:36,14 years (counting work study positions),6,14,They are not organized,No,No,1-5,Both,2004,car-mel,Wegmans,2,5 days,orange,Yes,No,"Yes, recycle",8 feet,
7/17/2019 11:27:43,6 years,15,8,I moved last fall and they're still in boxes :(,No,"Yes, 2 wisdom teeth",1-5,Indoors,7th grade,care-a-mel,Hy-Vee,7,3 days,red,Yes,No,"Yes, recycle",11 ft.,"Economist, New Yorker, Sports Illustrated"
7/18/2019 8:50:48,18 years,3,I have no idea,by general subject matter and size,Yes,"Yes, all wisdom teeth",1-5,I don't exercise,1975,care-a-mel,Big Bear,one,1 week,blue,Yes,No,"Yes, recycle",10',New York Times
7/18/2019 11:16:19,8,6,14,Theme-ish-ly,No,No,1-5,Both,2003,car-mel,Wegmans,3,5 days,Green.,I don't know,No,"Yes, compost, Yes, recycle",about 130 inches,USA Today
7/18/2019 14:39:07,2 years,13,10,subject / alphabetically,No,"Yes, all wisdom teeth",1-5,Both,1988,car-mel,Martin's Supermarkets,3,?,blue,I don't know,"Yes, solar","Yes, compost, Yes, recycle",8 feet?,"Chicago Tribune, Cooks World, New Yorker, New York Times, Washington Post"
7/18/2019 14:45:45,2 years,5,50+,"by genre, then author",No,"Yes, all wisdom teeth",6-10,Both,1996,depends on how I feel :),Wegmans!,not enough,one week,green,I don't know,No,"Yes, compost, Yes, recycle",13 feet?,"Consumer Reports, Cooks World, Economist"
7/18/2019 15:09:24,22 years,32,15,by genre,No,"Yes, 2 wisdom teeth",0,Both,9,care-a-mel,Wegmans,8,4 days,Blue,I don't know,No,"Yes, recycle",14 ft,
7/19/2019 10:09:52,13,8,20,yes,Yes,"Yes, all wisdom teeth",6-10,Both,1984,car-mel,WEGMANS,6,10 days,yellow,No,No,"Yes, compost, Yes, recycle",14 ft,Better Homes and Gardens
7/19/2019 13:18:32,28,three,4,by category,Yes,"Yes, all wisdom teeth",1-5,Both,1972,car-mel,Publix,1,7 days,Green,No,No,"Yes, compost, Yes, recycle",10 ft,Homesteading
7/19/2019 16:54:53,24,5,15,Randomly on shelves,No,"Yes, 2 wisdom teeth",1-5,Both,1973,care-a-mel,Whole Foods,7,7days,Burnt Sienna,No,No,"Yes, recycle",8ft,"Better Homes and Gardens, New York Times, Wall Street Journal"
7/20/2019 9:01:51,8 years,4,8,subject,No,"Yes, all wisdom teeth",1-5,Both,1979,car-mel,trader joes,4,4 days,indigo,Yes,No,"Yes, recycle",20 feet,"O Magazine, Real Simple"
7/21/2019 11:35:46,6 years,11,33,"To read and read, then alphabetically by author's last name and then title",No,"Yes, all wisdom teeth",1-5,Both,2000,car-mel,Meijer,6,5 days,green,I don't know,No,"Yes, recycle",8 ft,
7/22/2019 12:28:37,13 years,6,6?,Library of Congress,No,"Yes, all wisdom teeth",1-5,Both,4th grade,car-mel,Aldi,4,Not long enough,Blue,Yes,No,"Yes, recycle",12 feet,"Chicago Tribune, New Yorker, New York Times"
7/24/2019 14:09:29,14 years,11,5,Randomly,Yes,No,1-5,Outdoors,2003,karəmɛl,Northgate,1,1 week,Red,Yes,No,"Yes, recycle",unknown,"Los Angeles Times, New York Times"
7/24/2019 14:36:49,23 years,24,20,"Fiction: alphabetical by author; Nonfiction: by topic, the alphabetically by author within topic",Yes,"Yes, 1 wisdom tooth",1-5,Both,1987,car-mel,Wegmans,5,one week,purple,Yes,"Yes, solar","Yes, compost, Yes, recycle",10 feet,"Better Homes and Gardens, Consumer Reports, Cosmopolitan, Entertainment Weekly, O Magazine"
7/24/2019 19:21:47,2 years,3,8,Haphazardly,No,"Yes, all wisdom teeth",1-5,Indoors,1997,care-a-mel,HEB,1,5 days,Green,I don't know,No,"Yes, recycle",8 feet,Washington Post
7/25/2019 8:26:54,10 years,4,4,However they fit on the shelf most efficiently,No,"Yes, all wisdom teeth",1-5,Indoors,1999,care-a-mel,Whole Foods,2,2 days,Green,I don't know,No,"Yes, recycle",2.5 meters,Economist
7/25/2019 14:13:50,21 years,14,10,subject and size of book,Yes,"Yes, all wisdom teeth",1-5,Both,1982,car-mel,Cub,4,10 days,purple,I don't know,No,"Yes, compost, Yes, recycle",12 feelt,"Economist, Globe and Mail, New York Times, Toronto Star"
7/25/2019 15:14:50,Almost a decade,Ten,Twelve,By genre,Yes,No,6-10,Both,2005,care-a-mel,Trader Joe's,Four,Two weeks,Yellow,Yes,No,"Yes, recycle",Twenty feet,
7/25/2019 15:42:34,fifteen years,five,too many,wherever they fit,No,"Yes, 2 wisdom teeth",1-5,Outdoors,1992,care-a-mel,Wegmans,2,not long enough,cerulean,I don't know,No,"Yes, compost, Yes, recycle",15 ft,Consumer Reports
7/26/2019 9:05:21,6,9,7,I don't,No,"Yes, all wisdom teeth",1-5,Both,2007,car-mel,Wegmans,1,4 days,Blue,Yes,No,"Yes, compost, Yes, recycle",10 ft,"Boston Globe, New York Times, Washington Post"
7/26/2019 12:47:20,forty-six years,8,I really don't know,by subject (and sub-divisions),No,"Yes, all wisdom teeth",11-15,Indoors,1950,care-a-mel,Wegman's,7,one week,yellow,Yes,No,"Yes, recycle",20 feet,"New Yorker, New York Times, Vogue, Wall Street Journal, Washington Post"
7/26/2019 13:19:37,4 months,7,10,alphabetically be author,No,"Yes, all wisdom teeth",1-5,Both,2000,care-a-mel,trader joes,4,1 week,purple,Yes,No,"Yes, recycle",10 ft,
7/26/2019 21:58:58,8 years,18,8 that I can physically wear right now.,"by feeling and, after filling my bookshelf, in piles",No,"Yes, 2 wisdom teeth",1-5,Both,1998,car-mel,Wegman's,1,4 days,the rainbow,I don't know,No,"Yes, compost",10 ft,Consumer Reports
7/28/2019 13:07:28,15 years,24,20,by language,Yes,"Yes, 2 wisdom teeth",1-5,Both,11,care-a-mel,Target,2,1 week,Green,No,No,"Yes, recycle",9 ft,"New York Times, Vogue"
7/29/2019 9:47:29,10 years,16,6,I don't organize them,No,"Yes, all wisdom teeth",6-10,Both,1992,care-a-mel,don't have one,no idea,1 week,brown,I don't know,No,"Yes, compost, Yes, recycle",no idea,